image_url,artist,title,top_year,class,youtube_top_url,yt_id,is_downloaded,mood,per
https://cdnimg.melon.co.kr/cm/album/images/000/04/005/4005_500.jpg/melon/resize/48/quality/80/optimize,산울림,청춘,1981,kpop,https://youtube.com/watch?v=yodXsojRrqI,yodXsojRrqI,True,sad,0.4266
https://cdnimg.melon.co.kr/cm/album/images/000/35/173/35173_500.jpg/melon/resize/48/quality/80/optimize,마그마,해야,1981,kpop,https://youtube.com/watch?v=-SrB6JAFVkw,-SrB6JAFVkw,True,sad,0.3987
https://cdnimg.melon.co.kr/cm2/album/images/022/85/452/2285452_20240320155017_500.jpg/melon/resize/48/quality/80/optimize,동그라미,같이 있게 해주세요,1982,kpop,https://youtube.com/watch?v=dP8DCm3QwNo,dP8DCm3QwNo,True,sad,0.5911
https://cdnimg.melon.co.kr/cm/album/images/000/50/313/50313_500.jpg/melon/resize/48/quality/80/optimize,옥슨 80,그대 떠난 이밤에,1982,kpop,https://youtube.com/watch?v=-W3k_B3_DzI,-W3k_B3_DzI,True,sad,0.3818
https://cdnimg.melon.co.kr/cm/album/images/000/03/556/3556_500.jpg/melon/resize/48/quality/80/optimize,계은숙,기다리는 여심,1982,kpop,https://youtube.com/watch?v=hpWvqLQSflY,hpWvqLQSflY,True,romantic,0.689
https://cdnimg.melon.co.kr/cm/album/images/000/04/842/4842_500.jpg/melon/resize/48/quality/80/optimize,조용필,꽃바람,1982,kpop,https://youtube.com/watch?v=OetNYn0sNxs,OetNYn0sNxs,True,romantic,0.5094
https://cdnimg.melon.co.kr/cm/album/images/000/08/807/8807_500.jpg/melon/resize/48/quality/80/optimize,남궁옥분,꿈을 먹는 젊은이,1982,kpop,https://youtube.com/watch?v=6ROTXQTojLs,6ROTXQTojLs,True,dramatic,0.2903
https://cdnimg.melon.co.kr/cm/album/images/003/11/596/311596_500.jpg/melon/resize/48/quality/80/optimize,유심초,나는 홀로 있어도,1982,kpop,https://youtube.com/watch?v=mJ2lhqQA7RA,mJ2lhqQA7RA,True,romantic,0.3813
https://cdnimg.melon.co.kr/cm/album/images/000/04/778/4778_500.jpg/melon/resize/48/quality/80/optimize,조동진,나뭇잎 사이로,1982,kpop,https://youtube.com/watch?v=ze2hM9mkDpA,ze2hM9mkDpA,True,romantic,0.5468
https://cdnimg.melon.co.kr/cm/album/images/003/16/316/316316_500.jpg/melon/resize/48/quality/80/optimize,김연숙,나보다 더 나를 사랑하는 님이시여,1982,kpop,https://youtube.com/watch?v=h_A_DUHWyK4,h_A_DUHWyK4,True,sad,0.4201
https://cdnimg.melon.co.kr/cm/album/images/000/04/011/4011_500.jpg/melon/resize/48/quality/80/optimize,산울림,내게 사랑은 너무 써,1982,kpop,https://youtube.com/watch?v=gjvvbuUZ0cw,gjvvbuUZ0cw,True,romantic,0.4972
https://cdnimg.melon.co.kr/cm/album/images/000/03/556/3556_500.jpg/melon/resize/48/quality/80/optimize,계은숙,노래하며 춤추며,1982,kpop,https://youtube.com/watch?v=8TNiCK7aPoY,8TNiCK7aPoY,True,happy,0.4251
https://cdnimg.melon.co.kr/cm/album/images/000/31/028/31028_500.jpg/melon/resize/48/quality/80/optimize,나훈아,대동강 편지,1982,kpop,https://youtube.com/watch?v=VRdP4ASMz6U,VRdP4ASMz6U,True,romantic,0.4194
https://cdnimg.melon.co.kr/cm/album/images/003/17/388/317388_500.jpg/melon/resize/48/quality/80/optimize,정광태,독도는 우리땅,1982,kpop,https://youtube.com/watch?v=Ov_glEv9JEM,Ov_glEv9JEM,True,happy,0.4826
https://cdnimg.melon.co.kr/cm/album/images/000/04/005/4005_500.jpg/melon/resize/48/quality/80/optimize,산울림,독백,1982,kpop,https://youtube.com/watch?v=AZNhQ7GjLO4,AZNhQ7GjLO4,True,romantic,0.5506
https://cdnimg.melon.co.kr/cm/album/images/003/04/830/304830_500.jpg/melon/resize/48/quality/80/optimize,정오차,바윗돌,1982,kpop,https://youtube.com/watch?v=65G3QRTwPkU,65G3QRTwPkU,True,dramatic,0.3331
https://cdnimg.melon.co.kr/cm/album/images/003/09/939/309939_500.jpg/melon/resize/48/quality/80/optimize,김태정,백지로 보낸 편지,1982,kpop,https://youtube.com/watch?v=EuTEVaaDX6g,EuTEVaaDX6g,True,romantic,0.3625
https://cdnimg.melon.co.kr/cm/album/images/000/06/019/6019_500.jpg/melon/resize/48/quality/80/optimize,문성재,부산 갈매기,1982,kpop,https://youtube.com/watch?v=QUsXuUsiNbs,QUsXuUsiNbs,True,happy,0.2957
