image_url,artist,title,top_year,class
https://cdnimg.melon.co.kr/cm/album/images/000/04/842/4842_500.jpg/melon/resize/48/quality/80/optimize,조용필,꽃바람,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/08/807/8807_500.jpg/melon/resize/48/quality/80/optimize,남궁옥분,꿈을 먹는 젊은이,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/11/596/311596_500.jpg/melon/resize/48/quality/80/optimize,유심초,나는 홀로 있어도,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/04/778/4778_500.jpg/melon/resize/48/quality/80/optimize,조동진,나뭇잎 사이로,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/16/316/316316_500.jpg/melon/resize/48/quality/80/optimize,김연숙,나보다 더 나를 사랑하는 님이시여,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/86/257/386257_500.jpg/melon/resize/48/quality/80/optimize,김수희,남포동 부르스,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/04/011/4011_500.jpg/melon/resize/48/quality/80/optimize,산울림,내게 사랑은 너무 써,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/03/556/3556_500.jpg/melon/resize/48/quality/80/optimize,계은숙,노래하며 춤추며,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/31/028/31028_500.jpg/melon/resize/48/quality/80/optimize,나훈아,대동강 편지,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/17/388/317388_500.jpg/melon/resize/48/quality/80/optimize,정광태,독도는 우리땅,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/04/005/4005_500.jpg/melon/resize/48/quality/80/optimize,산울림,독백,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/04/842/4842_500.jpg/melon/resize/48/quality/80/optimize,조용필,못찾겠다 꾀꼬리,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/04/830/304830_500.jpg/melon/resize/48/quality/80/optimize,정오차,바윗돌,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/09/939/309939_500.jpg/melon/resize/48/quality/80/optimize,김태정,백지로 보낸 편지,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/06/019/6019_500.jpg/melon/resize/48/quality/80/optimize,문성재,부산 갈매기,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/020/37/609/2037609_500.jpg/melon/resize/48/quality/80/optimize,최안순,사랑,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/08/807/8807_500.jpg/melon/resize/48/quality/80/optimize,남궁옥분,사랑 사랑 누가 말했나,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/14/242/314242_500.jpg/melon/resize/48/quality/80/optimize,산울림,산할아버지,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/04/127/4127_500.jpg/melon/resize/48/quality/80/optimize,송창식,상아의 노래,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/06/131/6131_500.jpg/melon/resize/48/quality/80/optimize,사랑의 하모니,야화,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/04/119/4119_500.jpg/melon/resize/48/quality/80/optimize,송골매,어쩌다 마주친 그대,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/67/771/367771_500.jpg/melon/resize/48/quality/80/optimize,이명훈,얼굴 빨개졌다네,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/56/818/356818_500.jpg/melon/resize/48/quality/80/optimize,이태원,여인아,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/06/499/6499_500.jpg/melon/resize/48/quality/80/optimize,윤민호,연상의 여인,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/46/931/46931_500.jpg/melon/resize/48/quality/80/optimize,임수정,연인들의 이야기,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/15/059/315059_500.jpg/melon/resize/48/quality/80/optimize,나훈아,울긴 왜 울어,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/31/799/31799_500.jpg/melon/resize/48/quality/80/optimize,오누이,님의 기도,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/000/06/739/6739_500.jpg/melon/resize/48/quality/80/optimize,이용,잊혀진 계절,1982,kpop
https://cdnimg.melon.co.kr/cm/album/images/003/15/061/315061_500.jpg/melon/resize/48/quality/80/optimize,나훈아,잡초,1982,kpop
